Identifier,Base use,Link,Phenotype,Category,n CpGs,Sample size,n Cases,n Controls,Sample type,Developmental period,Tissue,Array,Ancestry,Dimension reduction (1),Dimension reduction (2),Dimension reduction (3),Dimension reduction (4),Dimension reduction (5),Weights estimation,Internal validation,External validation,Performance,Identifier_base,Multiple_identifier_base,Sample_overlap_target_base,Comparison,Missing_value_note,Covariates
Alameda (2023) - Exploring the mediation of DNA methylation,Summary statistics,https://www.nature.com/articles/s41380-023-02044-9,Abuse,Lifestyle and environment,,,,,,Adulthood,Whole blood,EPICv1,Mixed,,,,,,,,,,,,,,,"10 principal components (PC), batch effects, site (ascertainment area where the study was conducted), gender and age "
Alameda (2023) - Exploring the mediation of DNA methylation,Summary statistics,https://www.nature.com/articles/s41380-023-02044-9,Neglect,Lifestyle and environment,,,,,,Adulthood,Whole blood,EPICv1,Mixed,,,,,,,,,,,,,,,"10 principal components (PC), batch effects, site (ascertainment area where the study was conducted), gender and age "
Alameda (2023) - Exploring the mediation of DNA methylation,Summary statistics,https://www.nature.com/articles/s41380-023-02044-9,Abuse and neglect,Lifestyle and environment,,,,,,Adulthood,Whole blood,EPICv1,Mixed,,,,,,,,,,,,,,,"10 principal components (PC), batch effects, site (ascertainment area where the study was conducted), gender and age "
Alfano (2019) - Socioeconomic position during pregnancy and,Summary statistics,https://pmc.ncbi.nlm.nih.gov/articles/PMC6443021/,Socioeconomic position,Lifestyle and environment,,,,,,Birth,Cord blood,450K,White,,,,,,,,,,,,,,,"birthweight, parity,gestational age, sex of the newborn, and technical variables: bead array row and bisulphite conversion batch."
"Antoun (2020) - Maternal dysglycaemia, changes in the infant's",Summary statistics,https://pmc.ncbi.nlm.nih.gov/articles/PMC7643947/,Gestational diabetes,Lifestyle and environment,,,,,,Birth,Cord blood,EPICv1,Mixed,,,,,,,,,,,,,,,"maternal age, smoking, ethnicity, parity, neonate sex, and the predicted values for B cells, CD4 T cells, CD8 T cells, granulocytes, monocytes,natural killer cells, and nucleated red blood cell composition. "
Appleton (2013)- Patterning in Placental 11-B hydroxysteroid dehydrogenase,Summary statistics,https://pubmed.ncbi.nlm.nih.gov/24040322/,Socioeconomic position,Lifestyle and environment,,,,,,Birth,Placenta,PCR,Mixed,,,,,,,,,,,,,,,"Maternal age, pre-pregnancy body mass index, race, infant sex and birth weight percentile"
"Carreras-Gallo (2023) - Impact of tobacco, alcohol, and",Summary statistics,https://pubmed.ncbi.nlm.nih.gov/37216580/,Alcohol consumption,Lifestyle and environment ,,,,,,Adulthood,Whole blood,EPICv1,European,,,,,,,,,,,,,,,"sex, age, ethnicity, body mass index (BMI), level of education, alcohol and tobacco consumption (except when they were the variable of interest), slide, cell type, and surrogate variables."
Chen (2017) - An epigenome-wide association study,Summary statistics,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5500449/,Atopic status,Physical health indicator,,,,,,Late childhood,Leukocytes,450K,Hispanic,,,,,,,,,,,,,,,"age, sex, asthma, batch (or plate), population subgroup (in GALA II) and the first five principal components (PCs) of the genotypic data, cell-types"
Dugue (2019) - Alcohol consumption is associated with,Summary statistics,https://pubmed.ncbi.nlm.nih.gov/31789449/,Alcohol consumption,Lifestyle and environment ,,,,,,Adulthood,Whole blood,450K,Australian,,,,,,,,,,,,,,,"former, <15 years ago; current, <20 cigarettes per day; current, ≥20 cigarettes per day), body mass index (BMI) (≤25, >25 to ≤30, and >30 kg/m2), country of birth (Australia/New Zealand, Italy, Greece, UK), sample type (peripheral blood mononuclear cells, dried blood spots, buffy coats), and white blood cell composition (percentage of CD4+ T cells, CD8+ T cells, B cells, NK cells, monocytes, and granulocytes, estimated using the Houseman algorithm27), and random effects for study, plate, and chip"
Everson (2015) - DNA methylation loci associated with,Summary statistics,https://pubmed.ncbi.nlm.nih.gov/26292806/,Atopic status,Physical health indicator,,,,,,Adolescence,Whole blood,450K,European,,,,,,,,,,,,,,,cell-type proportions and sex
Fang (2024) - Trans-ancestry epigenome-wide association meta-analysis,Summary statistics,https://pmc.ncbi.nlm.nih.gov/articles/PMC11078760/,Lifetime cannabis,Lifestyle and environment,,,,,,Adulthood,Peripheral blood,450K,Mixed,,,,,,,,,,,,,,,"sex, age at blood collection, blood cell proportions, and technical covariates"
Gondolia (2019) - Methylome-wide association study provides,Summary statistics,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6754789/pdf/nihms-1532552.pdf,PM (air polution),Lifestyle and environment ,,,,,,Adulthood,Whole blood,450K,Mixed,,,,,,,,,,,,,,,"stratified by cohort and race/ethnicity (African-, European-, and Hispanic/
Latinx-American) and adjusted for age (years) at blood draw, education (high school
education or lower, more than high school), smoking status (current, former, never), alcohol
use (current, former, never), physical activity (metabolic equivalent of task [MET-hours/
week]), body mass index (BMI, kg/m2
), neighborhood socioeconomic status (Roux et al.,
2001), mean temperature (°C), mean dew point (°C), mean barometric pressure (kPa),
season, and methylation-related variables, which included ten principal components (PCs)
for genetic ancestry (when available), leukocyte proportions, and technical covariates.
Analyses additionally controlled for cohort-specific covariates, including binary sex (male,
female) in ARIC; randomly assigned treatment group (CT subpopulations of WHI-AS311,
WHI-BAA23, WHI-EMPC); case-control status (WHI-AS311, WHI-BAA23); and control
matching criteria (WHI-AS311)."
Hannon (2016) - An integrated genetic-epigenetic analysis,Summary statistics,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-016-1041-x,Schizophrenia ,Psychiatric,,,,,,Adulthood,Whole blood,450K,European,,,,,,,,,,,,,,,"age, gender, and cell composition"
Joehanes (2016) - Epigenetic Signatures of Cigarette Smoking,Summary statistics,https://www.ahajournals.org/doi/10.1161/CIRCGENETICS.116.001506,Smoking,Lifestyle and environment ,,,,,,Adulthood,Whole blood,450K,Mixed,,,,,,,,,,,,,,,"sex age blood count, technical covariates"
Joubert (2017) - DNA Methylation in Newborns and,Summary statistics,https://pubmed.ncbi.nlm.nih.gov/27040690/,Maternal smoking,Lifestyle and environment ,,,,,,Birth,Cord blood,450K,Mixed,,,,,,,,,,,,,,,"maternal age, maternal education (or a surrogate socioeconomic metric), parity, and technical covariates such as batch or plate"
Kazmi (2019) - Hypertensive disorders of pregnancy and DNA,Summary statistics,https://pmc.ncbi.nlm.nih.gov/articles/PMC6635125/pdf/hyp-74-375.pdf,Hypertensive disorders of pregnancy,Lifestyle and environment,,,,,,Birth,Cord blood,450K,Mixed,,,,,,,,,,,,,,,"adjusted for confounders [maternal age (years), parity (nulliparous vs multiparous), maternal smoking status (no smoking in pregnancy, stopped smoking in early pregnancy, smoking throughout pregnancy), diabetes mellitus (no preexisting or gestational diabetes mellitus vs prepregnancy or gestational diabetes mellitus), maternal prepregnancy body mass index (kg/m2 ), and child sex], cell proportions, and technical covariates [batch effects]"
King (2015) - Epigenetic regulation of Newborns’ imprinted ,Summary statistics,https://pmc.ncbi.nlm.nih.gov/articles/PMC4466032/pdf/nihms679913.pdf,Socioeconomic position,Lifestyle and environment,,,,,,Birth,Cord blood,PCR,Mixed,,,,,,,,,,,,,,,r race/ethnicity or SES
Knijnenburg (2019) - Genomic and molecular characterization of,Summary statistics,https://pmc.ncbi.nlm.nih.gov/articles/PMC6431191/pdf/pnas.201716314.pdf,Early preterm birth,Lifestyle and environment,,,,,,Adulthood,Whole blood,450K,Mixed,,,,,,,,,,,,,,,"maternal age, admixture coefficients, blood draw date"
Kupers (2019) - Meta-analysis of epigenome-wide,Summary statistics,https://www.nature.com/articles/s41467-019-09671-3,Birth weight,Physical health indicator,,,,,,Birth,"Multiple (Cord blood, Dried bloodspot)",450K,Mixed,,,,,,,,,,,,,,,"gestational age at delivery, child sex, maternal age at delivery, parity (0/≥1), smoking during pregnancy (no smoking/stopped in early pregnancy/smoking throughout pregnancy), pre-pregnancy BMI, socio-economic position, technical variation, and estimated white blood cell proportions (B-cells, CD8+ T-cells, CD4+ T-cells, granulocytes, NK-cells and monocytes)"
Laubach (2019) - Socioeconomic status and DNA methylation from,Summary statistics,https://pmc.ncbi.nlm.nih.gov/articles/PMC6802709/pdf/epi-11-1413.pdf,Socioeconomic position,Lifestyle and environment,,,,,,Birth,Cord blood,450K,Mixed,,,,,,,,,,,,,,,"age at enrollment, race/ethnicity, Smoking habits during pregnancy, Infant sex, Gestational age at delivery (for birth analyses), Child’s age at methylation assessment (for early and mid-childhood analyses instead of gestational age), Estimated cell type composition (cord blood reference at birth, adult leukocyte reference for later ages)"
Liu (2018) - A DNA methylation biomarker of,Summary statistics,https://www.nature.com/articles/mp2016192,Alcohol consumption,Lifestyle and environment ,,,,,,Adulthood,Whole blood,"Multiple (450K, EPICv1)",Mixed,,,,,,,,,,,,,,,"age, sex, body mass index, technical covariates and white blood cell counts; ge (continuous), sex, smoking status (never; former, ≥15 years ago"
Markunas (2016) - Maternal age at delivery is associated,Summary statistics,https://pmc.ncbi.nlm.nih.gov/articles/PMC4934688/,Maternal age at conception,Lifestyle and environment,,,,,,Birth,Cord blood,450K,European,,,,,,,,,,,,,,,"technical factors, facial cleft status, seks, birth weight, maternal alcohol use, maternal smoking, maternal edu, partiyu"
Mendelson (2017) - Association of Body Mass Index,Summary statistics,https://pubmed.ncbi.nlm.nih.gov/28095459/,BMI,Physical health indicator,,,,,,Adulthood,Whole blood,450K,White,,,,,,,,,,,,,,,"age, sex, family relatedness (random effect), and surrogate variables (to account for differential cell proportions and technical effects"
Peng (2019) - Epigenome-wide association study reveals ,Summary statistics,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6557548/,Allergy,Physical health indicator,,,,,,Mid childhood,Peripheral blood,450K,Mixed,,,,,,,,,,,,,,,"maternal covariates [age at enrollment (continuous), smoking status (never, former, or during pregnancy), education (college/graduate level or not college/graduate level), atopy history (asthma, eczema or hay fever)], child covariates [sex (female or male), race/ethnicity (white, black or others), gestational age (continuous)], and cell type proxies estimated for peripheral blood (percentages of monocytes, CD8T cells, CD4T cells, NK cells, and B cells)."
Portales-Casamar (2016) - DNA methylation signature of human,Summary statistics,https://epigeneticsandchromatin.biomedcentral.com/articles/10.1186/s13072-016-0074-4,Fetal alcohol syndrome,Physical health indicator,,,,,,Childhood and adolescence,Buccal cells,450K,Mixed,,,,,,,,,,,,,,,"clinical status, SVs"
Qi (2020) - Nasal DNA methylation profiling of,Summary statistics,https://www.sciencedirect.com/science/article/pii/S0091674920300348?via%3Dihub,Asthma and rihinitis,Physical health indicator,,,,,,Adolescence,Nasal epithelial cells,450K,Mixed,,,,,,,,,,,,,,," age, sex, batch, study center, and surrogate variables"
Reese (2019) - Epigenome-wide meta-analysis of,Summary statistics,https://www.sciencedirect.com/science/article/pii/S009167491832788X,Asthma,Physical health indicator,,,,,,"Birth, Childhood and adolescence",Whole blood,450K,Mixed,,,,,,,,,,,,,,,"maternal age, sustained maternal smoking during pregnancy, maternal asthma, socioeconomic status, and child's sex. Cohorts adjusted for batch effects by using ComBat or SVA or by including a batch covariate in their models."
Santos (2019) - Epigenome-wide DNA methylation in,Summary statistics,https://pmc.ncbi.nlm.nih.gov/articles/PMC6615526/pdf/kepi-14-08-1614743.pdf,Socioeconomic position,Lifestyle and environment,,,,,,Birth,Placenta,EPICv1,Mixed,,,,,,,,,,,,,,,"maternal age, maternal race (White vs. not-White), infant sex, birth weight z-score, gestational age, acute inflammation of the placenta chorion, the top 10 surrogate variables from SmartSVA to account for cell-type heterogeneity, and second-hand smoking exposure during pregnancy."
Sharp (2017) - Maternal BMI at the start of pregnancy,Summary statistics,https://pmc.ncbi.nlm.nih.gov/articles/PMC5656174/,Pre-pregnancy overweight,Lifestyle and environment,,,,,,Birth,Cord blood,450K,Mixed,,,,,,,,,,,,,,,"maternal age, maternal social class, maternal smoking status and parity, technical covariates, cell type"
Sharp (2018) - Maternal alcohol consumption and offspring,Summary statistics,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5753623/,Prenatal alcohol exposure,Lifestyle and environment ,,,,,,Birth,Cord blood,450K,European,,,,,,,,,,,,,,,"maternal age, maternal education, maternal smoking status, technica covariates, cord blood reference panel"
Sikdar (2019) - Comparison of smoking-related DNA,Summary statistics,https://pubmed.ncbi.nlm.nih.gov/31536415/,Maternal smoking,Lifestyle and environment ,,,,,,Birth,"Multiple (Cord blood, Whole blood)",450K,Mixed,,,,,,,,,,,,,,,"age (continuous), sex and cell-type proportion, batch effects"
Wahl (2019) - Epigenome-wide association study of,Summary statistics,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5570525/,BMI,Physical health indicator,,,,,,Adulthood,Whole blood,450K,Mixed,,,,,,,,,,,,,,,"Age, Sex, Physical Activity, Alcohol intake, Smoking, imputed WBC subsets, 20 control probe PCs"
Xu (2021) - Shared DNA methylation signatures in,Summary statistics,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8238013/,Allergy,Physical health indicator,,,,,,Childhood,Whole blood,450K,European,,,,,,,,,,,,,,,"sex, cohort, and technical covariables"
Zhang (2019) - DNA methylation and allergic sensitizations,Summary statistics,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6599678/,Atopic status,Physical health indicator,,,,,,Childhood and adolescence,Peripheral blood,"Multiple (450K, EPICv1)",European,,,,,,,,,,,,,,,"15 PCs, array, gender, age, cell-type"
Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,Validated algorithm,https://doi.org/10.1016/j.ajhg.2021.04.022,BAFopathy syndrome: no subtype specified,Genetic syndromes,140.0,889.0,140.0,749.0,Case control,Not reported,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Association DNAm phenotype | effect size,Statistical significance | top-ranking significant probes | 1000,Association DNAm phenotype | AUC | top-ranking 100-150,Pruning | R-squared | 0.60-0.80,,Penalized regression | Support vector machine,"Split 25/75%, 10-fold cross-validation",Yes (n = 965),No actual number reported,,,,No,No,"Cell type, 10 PCs"
Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,Validated algorithm,https://doi.org/10.1016/j.ajhg.2020.01.019,AUTS18 syndrome / Intellectual developmental disorder with autism and macrocephaly (IDDAM),Genetic syndromes,103.0,754.0,5.0,749.0,Case control,Not reported,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Association DNAm phenotype | effect size,Statistical significance | top-ranking significant probes | 1000,Association DNAm phenotype | AUC | top-ranking 100-150,Pruning | R-squared | 0.60-0.80,,Penalized regression | Support vector machine,"Split 25/75%, 10-fold cross-validation",Yes (n = 965),No actual number reported,,,,No,No,"Cell type, 10 PCs"
Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,Validated algorithm,https://doi.org/10.1016/j.ajhg.2020.01.019,CHARGE syndrome,Genetic syndromes,148.0,809.0,60.0,749.0,Case control,Not reported,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Association DNAm phenotype | effect size,Statistical significance | top-ranking significant probes | 1000,Association DNAm phenotype | AUC | top-ranking 100-150,Pruning | R-squared | 0.60-0.80,,Penalized regression | Support vector machine,"Split 25/75%, 10-fold cross-validation",Yes (n = 965),No actual number reported,,,,No,No,"Cell type, 10 PCs"
Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,Validated algorithm,https://doi.org/10.1016/j.ajhg.2020.01.019,Claes-Jensen syndrome,Genetic syndromes,127.0,783.0,34.0,749.0,Case control,Not reported,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Association DNAm phenotype | effect size,Statistical significance | top-ranking significant probes | 1000,Association DNAm phenotype | AUC | top-ranking 100-150,Pruning | R-squared | 0.60-0.80,,Penalized regression | Support vector machine,"Split 25/75%, 10-fold cross-validation",Yes (n = 965),No actual number reported,,,,No,No,"Cell type, 10 PCs"
Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,Validated algorithm,https://doi.org/10.1016/j.ajhg.2020.01.019,Cornelia de Lange syndrome (CdLS),Genetic syndromes,128.0,790.0,41.0,749.0,Case control,Not reported,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Association DNAm phenotype | effect size,Statistical significance | top-ranking significant probes | 1000,Association DNAm phenotype | AUC | top-ranking 100-150,Pruning | R-squared | 0.60-0.80,,Penalized regression | Support vector machine,"Split 25/75%, 10-fold cross-validation",Yes (n = 965),No actual number reported,,,,No,No,"Cell type, 10 PCs"
Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,Validated algorithm,https://doi.org/10.1016/j.ajhg.2020.01.019,"Genitopatellar syndrome (GTPTS) and Ohdo syndrome, SBBYSS variant (SBBYSS)",Genetic syndromes,106.0,754.0,5.0,749.0,Case control,Not reported,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Association DNAm phenotype | effect size,Statistical significance | top-ranking significant probes | 1000,Association DNAm phenotype | AUC | top-ranking 100-150,Pruning | R-squared | 0.60-0.80,,Penalized regression | Support vector machine,"Split 25/75%, 10-fold cross-validation",Yes (n = 965),No actual number reported,,,,No,No,"Cell type, 10 PCs"
Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,Validated algorithm,https://doi.org/10.1016/j.ajhg.2020.01.019,Helsmoortel–van der Aa syndrome (HVDAS) / ADNP,Genetic syndromes,105.0,768.0,32.0,749.0,Case control,Not reported,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Association DNAm phenotype | effect size,Statistical significance | top-ranking significant probes | 1000,Association DNAm phenotype | AUC | top-ranking 100-150,Pruning | R-squared | 0.60-0.80,,Penalized regression | Support vector machine,"Split 25/75%, 10-fold cross-validation",Yes (n = 965),No actual number reported,,,,No,No,"Cell type, 10 PCs"
Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,Validated algorithm,https://doi.org/10.1016/j.ajhg.2020.01.019,"Intellectual developmental disorder, X-linked 93 (MRX93)",Genetic syndromes,110.0,754.0,5.0,749.0,Case control,Not reported,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Association DNAm phenotype | effect size,Statistical significance | top-ranking significant probes | 1000,Association DNAm phenotype | AUC | top-ranking 100-150,Pruning | R-squared | 0.60-0.80,,Penalized regression | Support vector machine,"Split 25/75%, 10-fold cross-validation",Yes (n = 965),No actual number reported,,,,No,No,"Cell type, 10 PCs"
Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,Validated algorithm,https://doi.org/10.1016/j.ajhg.2020.01.019,Kabuki syndrome,Genetic syndromes,153.0,836.0,87.0,749.0,Case control,Not reported,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Association DNAm phenotype | effect size,Statistical significance | top-ranking significant probes | 1000,Association DNAm phenotype | AUC | top-ranking 100-150,Pruning | R-squared | 0.60-0.80,,Penalized regression | Support vector machine,"Split 25/75%, 10-fold cross-validation",Yes (n = 965),No actual number reported,,,,No,No,"Cell type, 10 PCs"
Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,Validated algorithm,https://doi.org/10.1016/j.ajhg.2020.01.019,Kleefstra syndrome (Kleefstra),Genetic syndromes,107.0,769.0,20.0,749.0,Case control,Not reported,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Association DNAm phenotype | effect size,Statistical significance | top-ranking significant probes | 1000,Association DNAm phenotype | AUC | top-ranking 100-150,Pruning | R-squared | 0.60-0.80,,Penalized regression | Support vector machine,"Split 25/75%, 10-fold cross-validation",Yes (n = 965),No actual number reported,,,,No,No,"Cell type, 10 PCs"
Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,Validated algorithm,https://doi.org/10.1016/j.ajhg.2020.01.019,Koolen de Vreis syndrome (KDVS),Genetic syndromes,136.0,755.0,6.0,749.0,Case control,Not reported,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Association DNAm phenotype | effect size,Statistical significance | top-ranking significant probes | 1000,Association DNAm phenotype | AUC | top-ranking 100-150,Pruning | R-squared | 0.60-0.80,,Penalized regression | Support vector machine,"Split 25/75%, 10-fold cross-validation",Yes (n = 965),No actual number reported,,,,No,No,"Cell type, 10 PCs"
Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,Validated algorithm,https://doi.org/10.1016/j.ajhg.2020.01.019,Rubinstein-Taybi syndrome (RSTS),Genetic syndromes,139.0,788.0,39.0,749.0,Case control,Not reported,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Association DNAm phenotype | effect size,Statistical significance | top-ranking significant probes | 1000,Association DNAm phenotype | AUC | top-ranking 100-150,Pruning | R-squared | 0.60-0.80,,Penalized regression | Support vector machine,"Split 25/75%, 10-fold cross-validation",Yes (n = 965),No actual number reported,,,,No,No,"Cell type, 10 PCs"
Aref-Eshghi (2019) - Evaluation of DNA Methylation Episignatures,Validated algorithm,https://doi.org/10.1016/j.ajhg.2020.01.019,Sotos syndrome,Genetic syndromes,112.0,811.0,62.0,749.0,Case control,Not reported,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Association DNAm phenotype | effect size,Statistical significance | top-ranking significant probes | 1000,Association DNAm phenotype | AUC | top-ranking 100-150,Pruning | R-squared | 0.60-0.80,,Penalized regression | Support vector machine,"Split 25/75%, 10-fold cross-validation",Yes (n = 965),No actual number reported,,,,No,No,"Cell type, 10 PCs"
