Identifier,Base use,Link,Phenotype,Category,n CpGs,Sample size,n Cases,n Controls,Sample type,Developmental period,Tissue,Array,Ancestry,Dimension reduction (1),Dimension reduction (2),Dimension reduction (3),Dimension reduction (4),Dimension reduction (5),Weights estimation,Internal validation,External validation,Performance,Identifier_base,Multiple_identifier_base,Sample_overlap_target_base,Comparison,Missing_value_note,Covariates
Gadd (2023) - Epigenetic scores for the circulating,Validated algorithm,https://elifesciences.org/articles/71802,Thrombopoietin receptor,Biological markers,41.0,1819.0,,,Population-based cohort,Adulthood,Whole blood,450K,European,,,,,,Penalized regression | Elastic net,split 20/80; cross-valition,Yes (n = 9537),"Reported | r>.1, p<.05",,,,No,No,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Validated algorithm,https://elifesciences.org/articles/71802,Thrombospondin-2,Biological markers,183.0,1819.0,,,Population-based cohort,Adulthood,Whole blood,450K,European,,,,,,Penalized regression | Elastic net,split 20/80; cross-valition,Yes (n = 9537),"Reported | r>.1, p<.05",,,,No,No,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Validated algorithm,https://elifesciences.org/articles/71802,TNFRSF17,Biological markers,103.0,1819.0,,,Population-based cohort,Adulthood,Whole blood,450K,European,,,,,,Penalized regression | Elastic net,split 20/80; cross-valition,Yes (n = 9537),"Reported | r>.1, p<.05",,,,No,No,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Validated algorithm,https://elifesciences.org/articles/71802,TNFRSF1B,Biological markers,83.0,1819.0,,,Population-based cohort,Adulthood,Whole blood,450K,European,,,,,,Penalized regression | Elastic net,split 20/80; cross-valition,Yes (n = 9537),"Reported | r>.1, p<.05",,,,No,No,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Validated algorithm,https://elifesciences.org/articles/71802,Trypsin-2,Biological markers,25.0,1819.0,,,Population-based cohort,Adulthood,Whole blood,450K,European,,,,,,Penalized regression | Elastic net,split 20/80; cross-valition,Yes (n = 9537),"Reported | r>.1, p<.05",,,,No,No,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Validated algorithm,https://elifesciences.org/articles/71802,Tryptase beta-2,Biological markers,106.0,1819.0,,,Population-based cohort,Adulthood,Whole blood,450K,European,,,,,,Penalized regression | Elastic net,split 20/80; cross-valition,Yes (n = 9537),"Reported | r>.1, p<.05",,,,No,No,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Validated algorithm,https://elifesciences.org/articles/71802,VCAM1,Biological markers,32.0,1819.0,,,Population-based cohort,Adulthood,Whole blood,450K,European,,,,,,Penalized regression | Elastic net,split 20/80; cross-valition,Yes (n = 9537),"Reported | r>.1, p<.05",,,,No,No,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Validated algorithm,https://elifesciences.org/articles/71802,VEGFA,Biological markers,159.0,1819.0,,,Population-based cohort,Adulthood,Whole blood,450K,European,,,,,,Penalized regression | Elastic net,split 20/80; cross-valition,Yes (n = 9537),"Reported | r>.1, p<.05",,,,No,No,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Validated algorithm,https://elifesciences.org/articles/71802,WFIKKN2,Biological markers,66.0,1819.0,,,Population-based cohort,Adulthood,Whole blood,450K,European,,,,,,Penalized regression | Elastic net,split 20/80; cross-valition,Yes (n = 9537),"Reported | r>.1, p<.05",,,,No,No,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2024) - DNAm scores for serum GDF15,Validated algorithm,https://elifesciences.org/articles/71802,GDF15,Biological markers,793.0,17489.0,,,Population-based cohort,Adulthood,Whole blood,EPICv1,European,,,,,,Penalized regression | Elastic net,cross-validation,Yes (n = 332),Reported | r = .38,,,,No,No,"age, sex and 20 genetic principal components and scaled to have a mean of 0 and variance of 1. DNAm measurements in beta format were regressed onto age, sex and processing batch and scaled to have a mean of 0 and variance of 1. Houseman immune cell estimates were included as fxed efect covariates"
Gadd (2024) - DNAm scores for serum GDF15,Validated algorithm,https://elifesciences.org/articles/71802,NTproBNP,Biological markers,383.0,16963.0,,,Population-based cohort,Adulthood,Whole blood,EPICv1,European,,,,,,Penalized regression | Elastic net,cross-validation,Yes (n = 500),Reported | r = .26,,,,No,No,"age, sex and 20 genetic principal components and scaled to have a mean of 0 and variance of 1. DNAm measurements in beta format were regressed onto age, sex and processing batch and scaled to have a mean of 0 and variance of 1. Houseman immune cell estimates were included as fxed efect covariates"
Gadd (2024) - DNAm scores for serum GDF15,Validated algorithm,https://elifesciences.org/articles/71802,GDF15,Biological markers,462.0,17489.0,,,Population-based cohort,Adulthood,Whole blood,EPICv1,European,Reproduciblity | Array | 450K only,,,,,Penalized regression | Elastic net,cross-validation,Yes (n = 332),Reported | r = .37,,,,No,No,"age, sex and 20 genetic principal components and scaled to have a mean of 0 and variance of 1. DNAm measurements in beta format were regressed onto age, sex and processing batch and scaled to have a mean of 0 and variance of 1. Houseman immune cell estimates were included as fxed efect covariates"
Gadd (2024) - DNAm scores for serum GDF15,Validated algorithm,https://elifesciences.org/articles/71802,NTproBNP,Biological markers,359.0,16963.0,,,Population-based cohort,Adulthood,Whole blood,EPICv1,European,Reproduciblity | Array | 450K only,,,,,Penalized regression | Elastic net,cross-validation,Yes (n = 500),Reported | r = .26,,,,No,No,"age, sex and 20 genetic principal components and scaled to have a mean of 0 and variance of 1. DNAm measurements in beta format were regressed onto age, sex and processing batch and scaled to have a mean of 0 and variance of 1. Houseman immune cell estimates were included as fxed efect covariates"
Jaarsveld (2023) - Delineation of a KDM2B-related neurodevelopmental,Validated algorithm,"https://www.embase.com/search/results?subaction=viewrecord&id=L2021004473&from=export_x000D_
http://dx.doi.org/10.1016/j.gim.2022.09.006",CxxC domain KM2B-related NDD,Genetic syndromes,107.0,75.0,15.0,60.0,Case control,Childhood and adolescence,Peripheral blood,EPICv1,Not reported,Association DNAm phenotype | P-value | top-ranking 1000,Association DNAm phenotype | AUC | ?,Pruning | Pairwise correlation | ?,Association DNAm phenotype | Actual change in methylation | > 5%,,Machine learning | Support vector machine,"Split 25/75%, cross-validation",Yes (unclear how many),No actual number reported,,,,No,Not reported,Cell type
Levy (2022) - Novel diagnostic DNA methylation episignatures,Validated algorithm,,22q11.2 deletion syndrome,Genetic syndromes,500.0,66.0,11.0,55.0,Case control,Childhood and adolescence,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Association DNAm phenotype | P-value | top-ranking ?,Statistical significance | top-ranking significant probes | ?,Association DNAm phenotype | AUC | ?,Pruning | Pairwise correlation | ?,,Machine learning | Support vector machine,"Split 25/75%, leave-25%-out-cross validation, leave-one-out-cross-validation",No,Not assessed ,,,,No,Not reported,Cell type
Levy (2022) - Novel diagnostic DNA methylation episignatures,Validated algorithm,,BAFopathy syndrome: Coffin-Siris 1-2 (CSS1-2),Genetic syndromes,500.0,44.0,4.0,40.0,Case control,Childhood and adolescence,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Association DNAm phenotype | P-value | top-ranking ?,Statistical significance | top-ranking significant probes | ?,Association DNAm phenotype | AUC | ?,Pruning | Pairwise correlation | ?,,Machine learning | Support vector machine,"Split 25/75%, leave-25%-out-cross validation, leave-one-out-cross-validation",No,Not assessed ,,,,No,Not reported,Cell type
Levy (2022) - Novel diagnostic DNA methylation episignatures,Validated algorithm,,Renpenning syndrome (RENS1),Genetic syndromes,329.0,64.0,8.0,56.0,Case control,Childhood and adolescence,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Association DNAm phenotype | P-value | top-ranking ?,Statistical significance | top-ranking significant probes | ?,Association DNAm phenotype | AUC | ?,Pruning | Pairwise correlation | ?,,Machine learning | Support vector machine,"Split 25/75%, leave-25%-out-cross validation, leave-one-out-cross-validation",No,Not assessed ,,,,No,Not reported,Cell type
Ligthart (2016) - DNA methylation signatures of chronic,Validated algorithm,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-016-1119-5,C-reactive protein,Biological markers,8.0,12974.0,,,Cohort,Adulthood,Whole blood,450K,Mixed,Association DNAm phenotype | P-value | top-ranking ?,Pruning | R-squared | 0.1,,,,Discovery EWAS | Linear mixed model,No,No,Reported | Explained variance = 2.3-5.8,,,,No,Not reported,"age, sex, white blood cell proportions, technical covariates (array number and position on array), smoking (current, former and never), and BMI."
McCartney (2021) - Blood-Based Epigenome-Wide Analyses of Cognitive Abilities,Validated algorithm,,Cognitive functioning,Neuro-psychiatric health indicators,764525.0,9162.0,,,Population-based,Adulthood,Whole blood,450K,European,,,,,,Discovery EWAS | Linear mixed model,,Yes (n=844 and n=427),Reported |  correlation was3.4% (P=2.0x10-8) in LBC1936 and 4.5% (P=9.9x10-6) in LBC1921,,,,No,Mean imputed,"age, sex, BMI and an epigenetic smoking score. The DNA methylation data were corrected for batch, age, sex and epigenetic smoking, which all have pervasive effects on DNAm levels."
Mirza-Schreiber (2022) - Blood DNA methylation provides an,Validated algorithm,"https://www.embase.com/search/results?subaction=viewrecord&id=L2018091451&from=export_x000D_
http://dx.doi.org/10.1093/brain/awab360",Kabuki syndrome,Genetic syndromes,113.0,64.0,12.0,52.0,Case control,Childhood and adolescence,Peripheral blood,EPICv1,Not reported,Association DNAm phenotype | P-value | p < 5e-8,Association DNAm phenotype | Actual change in methylation | logFC > 1,,,,Machine learning | Support vector machine,Split 25/75%,"Yes (n=110,n=2278)","Reported | Specificity [99.96%, with Wilson’s 95% CI (99.72%, 100%)]; sensitivity Wilson’s 95% CI (51%, 100%). For training and test set combined, the same estimate had a 95% CI of (77%, 100%).",,,,No,No,"sex, age and Houseman"
Provencal (2020) - Glucocorticoid exposure during hippocampal neurogenesis,Validated algorithm,https://pubmed.ncbi.nlm.nih.gov/31399550/,Glucocorticoid ,Lifestyle and environment,24.0,930.0,,,Population-based,Birth,"Multiple (Whole blood, HPCs)",450K,European,Association DNAm phenotype | P-value | FDR < .1 ,Association DNAm phenotype | P-value | FDR < .01,Association DNAm phenotype | Actual change in methylation| 2%,Reproducibility | Tissue | Present in both HPC and whole bloodReproducibility across tissue | Present in both HPC and whole blood,,Penalized regression | Elastic net,Cross-validation,"Yes | CpG inclusion based in MPIP (n = 113), weights determined in (n = 817)","Reported | Linear regression | β = −0.0039, SE = 0.019, P = 0.84 (internal!)",,,,No,Not reported,"HPC: SVs; Whole blood: subject id as random factor and blood cell counts, age, gender, case-control status and BMI as fixed factor; DNAm eventual score residualized for gender, age, case-control status, bmi and blood cell counts"
Rauschert (2020) - Machine Learning-Based DNA Methylation,Validated algorithm,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7491641/,Maternal smoking,Lifestyle and environment,204.0,995.0,296.0,699.0,Population-based,Adolescence,Peripheral blood,450K,European,Association DNAm phenotype | P-value | p < .00001,,,,,Penalized regression | Elastic net,80/20 train/test + Cross-validation within training,Yes (n = 517),"Reported | Sensitivity/Specifity/Cohen’s κ/Accuracy/AUC/Brierscore | sensitivity/specicity 91% and 76% internal, 87% and 75% external",,,,Yes,Reported,Not reported
Reese (2017) - DNA Methylation Score as a,Validated algorithm,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5381987/,Maternal smoking,Lifestyle and environment,28.0,1278.0,168.0,110.0,Population-based,Birth,Cord blood,450K,European,Statistical significance | top-ranking significant probes | 200,,,,,Penalized regression | Lasso,80/20 train/test,No,"Reported | Accuracy, sensitivity, specificity | training set (n = 1,057; accuracy = 96%, sensitivity = 80%, specificity = 98%); test set (n = 221, sensitivity = 58%, accuracy = 91%, specificity = 97%) ",,,,Yes,Not reported,"gender, gestational age, maternal education, maternal age, parity, and the selection variable for the data set."
Richmond (2018) - DNA methylation as a marker,Validated algorithm,https://pubmed.ncbi.nlm.nih.gov/29860346/,Maternal smoking (newborns),Lifestyle and environment ,568.0,754.0,,,Population-based,Adulthood,Peripheral blood,450K,European,Association DNAm phenotype | P-value | ?,,,,,Discovery EWAS | Linear mixed model,No,"Yes (later timepoint, n=230)","Reported | AUC 0.69 [95% confidence interval (CI) 0.67, 0.73]",Joubert (2017) - DNA Methylation in Newborns and,,,No,Not reported,"Maternal age at birth and head of household social class, SVs"
Richmond (2018) - DNA methylation as a marker,Validated algorithm,https://pubmed.ncbi.nlm.nih.gov/29860346/,Maternal smoking (older children),Lifestyle and environment ,19.0,754.0,,,Population-based,Adulthood,Peripheral blood,450K,European,Association DNAm phenotype | P-value | ?,,,,,Discovery EWAS | Linear mixed model,No,"Yes (later timepoint, n=230)","Reported | AUC 0.72 (95% CI 0.69, 0.76; P for difference = 0.97)",Joubert (2017) - DNA Methylation in Newborns and,,,No,Not reported,"Maternal age at birth and head of household social class, SVs"
Stevenson (2021) - Creating and Validating a DNA,Validated algorithm,https://pubmed.ncbi.nlm.nih.gov/33595649/,IL6,Biological markers,35.0,875.0,,,Population-based,Adulthood,Whole blood,450K,European,,,,,,Penalized regression | Elastic net,No,Yes (n=7028),"Reported | R2 = 4.4%, p = 2.1 × 10-5",,,,No,Reported | removed,"age, sex, cell-type"
Turinsky (2020) - EpigenCentral: portal for DNA methylation data,Validated algorithm,,Kabuki syndrome,Genetic syndromes,,,,,Cohort,Not reported,Blood,450K,Not reported,Association DNAm phenotype | P-value | p < .05,Association DNAm phenotype | Actual change in methylation| 10%,Pruning | Pairwise correlation | ?,,,Not reported,Unclear,Unclear,Not reported,,,,No,Not reported,"Age, seks, cell type, batch"
Turinsky (2020) - EpigenCentral: portal for DNA methylation data,Validated algorithm,,Sotos syndrome,Genetic syndromes,,,,,Cohort,Not reported,Blood,450K,Not reported,Association DNAm phenotype | P-value | p < .05,Association DNAm phenotype | Actual change in methylation| 10%,Pruning | Pairwise correlation | ?,,,Not reported,Unclear,Unclear,Not reported,,,,No,Not reported,"Age, seks, cell type, batch"
Unclear - EpiSignv2,Validated algorithm,https://doi.org/10.1016/j.ajhg.2021.04.029,Angelman syndrome,Genetic syndromes,,,,,Case control,Not reported,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Association DNAm phenotype | effect size,Statistical significance | top-ranking significant probes | 999,Association DNAm phenotype | AUC | top-ranking 100-149,Pruning | R-squared | 0.60-0.79,,Penalized regression | Support vector machine,"Split 25/75%, 10-fold cross-validation",Not reported,Not reported,,,,No,Not reported,"Cell type, 10 PCs"
Unclear - EpiSignv2,Validated algorithm,https://doi.org/10.1016/j.ajhg.2021.04.024,Velocardiofacial syndrome (VCFS),Genetic syndromes,,,,,Case control,Not reported,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Association DNAm phenotype | effect size,Statistical significance | top-ranking significant probes | 999,Association DNAm phenotype | AUC | top-ranking 100-149,Pruning | R-squared | 0.60-0.79,,Penalized regression | Support vector machine,"Split 25/75%, 10-fold cross-validation",Not reported,Not reported,,,,No,Not reported,"Cell type, 10 PCs"
Unclear - EpiSignv2,Validated algorithm,https://doi.org/10.1016/j.ajhg.2021.04.025,Wolf-Hirschhorn syndrome (WHS),Genetic syndromes,,,,,Case control,Not reported,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Association DNAm phenotype | effect size,Statistical significance | top-ranking significant probes | 999,Association DNAm phenotype | AUC | top-ranking 100-149,Pruning | R-squared | 0.60-0.79,,Penalized regression | Support vector machine,"Split 25/75%, 10-fold cross-validation",Not reported,Not reported,,,,No,Not reported,"Cell type, 10 PCs"
Unclear - EpiSignv2,Validated algorithm,,Beckwith-Wiedemann syndrome (BWS),Genetic syndromes,,,,,Case control,Not reported,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Association DNAm phenotype | effect size,Statistical significance | top-ranking significant probes | 999,Association DNAm phenotype | AUC | top-ranking 100-149,Pruning | R-squared | 0.60-0.79,,Penalized regression | Support vector machine,"Split 25/75%, 10-fold cross-validation",Not reported,Not reported,,,,No,Not reported,"Cell type, 10 PCs"
Unclear - EpiSignv2,Validated algorithm,,"Blepharophimosis intellectual disability syndrome, SMARCA2 type",Genetic syndromes,,,,,Case control,Not reported,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Association DNAm phenotype | effect size,Statistical significance | top-ranking significant probes | 999,Association DNAm phenotype | AUC | top-ranking 100-149,Pruning | R-squared | 0.60-0.79,,Penalized regression | Support vector machine,"Split 25/75%, 10-fold cross-validation",Not reported,Not reported,,,,No,Not reported,"Cell type, 10 PCs"
Unclear - EpiSignv2,Validated algorithm,,Fragile X syndrome (FXS),Genetic syndromes,,,,,Case control,Not reported,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Association DNAm phenotype | effect size,Statistical significance | top-ranking significant probes | 999,Association DNAm phenotype | AUC | top-ranking 100-149,Pruning | R-squared | 0.60-0.79,,Penalized regression | Support vector machine,"Split 25/75%, 10-fold cross-validation",Not reported,Not reported,,,,No,Not reported,"Cell type, 10 PCs"
Unclear - EpiSignv2,Validated algorithm,,"Intellectual developmental disorder, autosomal dominant 23 (MRD23)",Genetic syndromes,,,,,Case control,Not reported,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Association DNAm phenotype | effect size,Statistical significance | top-ranking significant probes | 999,Association DNAm phenotype | AUC | top-ranking 100-149,Pruning | R-squared | 0.60-0.79,,Penalized regression | Support vector machine,"Split 25/75%, 10-fold cross-validation",Not reported,Not reported,,,,No,Not reported,"Cell type, 10 PCs"
Unclear - EpiSignv2,Validated algorithm,,Kagami–Ogatta syndrome (KOS),Genetic syndromes,,,,,Case control,Not reported,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Association DNAm phenotype | effect size,Statistical significance | top-ranking significant probes | 999,Association DNAm phenotype | AUC | top-ranking 100-149,Pruning | R-squared | 0.60-0.79,,Penalized regression | Support vector machine,"Split 25/75%, 10-fold cross-validation",Not reported,Not reported,,,,No,Not reported,"Cell type, 10 PCs"
Unclear - EpiSignv2,Validated algorithm,,Prader–Willi syndrome,Genetic syndromes,,,,,Case control,Not reported,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Association DNAm phenotype | effect size,Statistical significance | top-ranking significant probes | 999,Association DNAm phenotype | AUC | top-ranking 100-149,Pruning | R-squared | 0.60-0.79,,Penalized regression | Support vector machine,"Split 25/75%, 10-fold cross-validation",Not reported,Not reported,,,,No,Not reported,"Cell type, 10 PCs"
Unclear - EpiSignv2,Validated algorithm,,Silver Russel syndrome 1 (SRS1),Genetic syndromes,,,,,Case control,Not reported,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Association DNAm phenotype | effect size,Statistical significance | top-ranking significant probes | 999,Association DNAm phenotype | AUC | top-ranking 100-149,Pruning | R-squared | 0.60-0.79,,Penalized regression | Support vector machine,"Split 25/75%, 10-fold cross-validation",Not reported,Not reported,,,,No,Not reported,"Cell type, 10 PCs"
Unclear - EpiSignv2,Validated algorithm,,Williams–Beuren deletion syndrome (WBS) and Williams–Beuren regions duplication syndrome (Dup7),Genetic syndromes,,,,,Case control,Not reported,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Association DNAm phenotype | effect size,Statistical significance | top-ranking significant probes | 1000,Association DNAm phenotype | AUC | top-ranking 100-150,Pruning | R-squared | 0.60-0.80,,Penalized regression | Support vector machine,"Split 25/75%, 10-fold cross-validation",Not reported,Not reported,,,,No,Not reported,"Cell type, 10 PCs"
Unclear - EpiSignv2,Validated algorithm,,KBG syndrome,Genetic syndromes,,,,,Case control,Not reported,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Association DNAm phenotype | effect size,Statistical significance | top-ranking significant probes | 1000,Association DNAm phenotype | AUC | top-ranking 100-150,Pruning | R-squared | 0.60-0.80,,Penalized regression | Support vector machine,"Split 25/75%, 10-fold cross-validation",Not reported,Not reported,,,,No,Not reported,"Cell type, 10 PCs"
Wahl (2019) - Epigenome-wide association study of,Validated algorithm,,BMI,Physical health indicator,187.0,10261.0,,,Population-based,Adulthood,Whole blood,450K,Mixed,Association DNAm phenotype | P-value | p < 1e-7,Pruning | Location | 500kb,,,,Discovery EWAS | Linear mixed model,Split 50-50,No,"Reported | RR | 7.3 (95% CI: 4.1–12.9), P = 8.2 × 10⁻¹",,,,No,Not reported,"Age, Sex, Physical Activity, Alcohol intake, Smoking, imputed WBC subsets, 20 control probe PCs"
Wielscher (2022) - DNA methylation signature of chronic low-grade inflammation,Validated algorithm,,C-reactive protein,Biological markers,1511.0,22774.0,,,Population-based,Adulthood,Whole blood,"Multiple (450K, EPICv1)",Mixed,Association DNAm phenotype | P-value | p < 1e-7,Pruning | Location | 5kb,,,,Discovery EWAS | Linear mixed model,No,No,Not reported,,,,No,Not reported,"r age, sex, blood cell type composition and technical confounders"
